Topic ID,Top Words,NLP Theme,Proxy Variable (Model F),Data Source
0,"crop, environmental, production, resource, water, region, impact, environmental_impact, current, rice",,,
1,"resilience, economic, supply_chain, system, institutional, grain, waste, framework, postharvest_loss, factor",,,
2,"agriculture, ethiopia, csa_practice, csa, climate_change, change, association, agricultural_productivity, climate, calorie",,,
3,"yield, land, soil, malawi, temperature, practice, spatial, impact, climate, organic_farming",,,
4,"urban, crop, agriculture, climate_change, yield, temperature, grain, hermetic_bag, biodiversity, change",,,
5,"climate_change, impact, production, agricultural, land, investment, availability, mitigation, implication, people",,,
6,"availability, rice, trade, household, production, variety, price, crop, farmer, maize",,,
7,"household, farmer, income, determinant, adaptation_strategy, adoption, factor, loss, result, livelihood",,,
8,"land, government, state, see, resource, political, china, company, rubber, area",,,
9,"loss, crop, production, increased, storage, agriculture, smallholder_farmer, grain_storage, postharvest_loss, value",,,
10,"model, financing, chain, agricultural, storage, silo, value_chain, efficiency, government, solution",,,
11,"loss, fish, postharvest_loss, due, fertilizer, system, crop, technology, production, adaptation",,,
