title,abstract,authors,journal,year,doi,openalex_id,source_db,alignment_score,alignment_level,matched_core_terms,matched_title_core_terms,matched_availability_terms,matched_title_availability_terms,matched_themes,theme_count,project_driver_theme_count,availability_driver_theme_count,skip_terms
"Economic, cultural and institutional dynamics in transitioning Africa’s agri-food system toward sustainable regional food and nutrition security","Globally, agri-food systems face rising pressure from climate change, population growth, and economic structural shifts, raising worries about the capacity of food systems. Africa holds a crucial role in this worldwide issue due to its swiftly increasing population, significant reliance on agriculture for survival, and ongoing susceptibility to food insecurity and malnutrition. This systematic review explores the impact of economic, cultural, and institutional factors on the shift of Africa’s agri-food systems toward sustainable regional food security. A comprehensive analysis was conducted on 106 peer-reviewed articles published from 2010 to 2024, adhering to PRISMA guidelines. The approach utilized thematic synthesis and descriptive statistical analysis to derive insights on indicators of food security, efficiency in agriculture, and the prevalence of malnutrition. The analysis shows significant regional disparities: Northern and Southern Africa demonstrate comparatively better system efficiency and food security, due to enhanced infrastructure, institutional backing, and economic stability. The results also indicate that economic elements, especially agricultural value chain development, productivity, and access to finance, are significantly linked to enhanced food security, whereas the quality of institutions and governance effectiveness serve a crucial enabling function. Cultural dynamics, such as dietary habits and gender roles, greatly impact food usage and nutrition, particularly in East and West Africa. Significant regional disparities continue, with North and Southern Africa showing comparatively better institutional and economic performance, while Central Africa is dealing with increased vulnerabilities. The assessment emphasizes the significant connections with the Sustainable Development Goals (SDGs), especially SDG 2 (Zero Hunger), SDG 12 (Responsible Consumption and Production), and SDG 13 (Climate Action), highlighting the importance of Agri-food transformation in Africa’s development agenda. Additionally, the examination highlights the increasing significance of climate-smart farming, circular economy approaches, and inclusive policy structures in influencing food system durability and rural economies. The research concludes that Africa’s Agri-food transition necessitates diverse, region-tailored strategies based on economic feasibility, cultural relevance, and institutional changes. It emphasizes the need for improved policy alignment, inter-regional knowledge sharing, and data-driven innovation to secure a fair and sustainable Agri-food future for the continent. This review adds to the body of knowledge by presenting a systems-oriented, region-specific perspective on Africa’s Agri-food transition, supplying data to guide cohesive policy formulation, focused investment, and subsequent research directed at ensuring sustainable food and nutrition security in Africa. © The Author(s) 2026.",Gebretsadik T.; Zavale H.; Manuel L.; Chiulele R.M.,Discover Sustainability,2026,10.1007/s43621-026-02909-3,,Scopus,33,strict,food insecurity; food security; hunger; malnutrition; nutrition security,nutrition security,food system; value chain,food system,climate_environment; gender_poverty_inclusion; governance_institutions; production_yield_cereals; value_chain_market_access,5,3,2,
"Food Security, Institutional Framework and Technology: Examining the Nexus in Nigeria Using ARDL Approach","BACKGROUND: Growth in agricultural science and technology is deemed essential for in-creasing agricultural output; reduce the vulnerability of rural poverty and in turn, food security. Food security and growth in agricultural output depends on technological usages, which enhances the pro-ductive capacity of the agricultural sector. The indicators of food security utilised in this study in-clude: dietary energy supply, average value of food production, prevalence of food inadequacy, among others. OBJECTIVE: In this paper, we examined the level of technology and how investment in the agriculture and technology can improve technical know-how in Nigeria with a view to achieving food security. METHOD: We carried out the analysis on how investment in technology and institutional framework can improve the level of food availability (a key component of food security) in Nigeria using econ-ometric technique based on Autoregressive Distribution Lag (ARDL) framework. RESULTS: The results showed, inter alia, that in Nigeria, there is a high level of food insecurity as a result of low attention on food production occasioned by the pervasive influence of oil that become the major export product. CONCLUSION: It was noted that the availability of arable land was one of the major factors to increase food production to solve the challenge of food insecurity. Thus, the efforts of reducing the rate of food insecurity are essential in this regards. This can also be achieved, among others, by active interactions between government and farmers, to make contribution to important planning issues that relate to food production in the country and above all, social protection policies should be geared or channelled to agricultural sector to protect farmers who are vulnerable to shocks and avert risks associated with agriculture.",Romanus Osabohien; Evans Osabuohien; Ese Urhie,Current Nutrition & Food Science,2018,10.2174/1573401313666170525133853,https://openalex.org/W2650078515,OpenAlex,33,strict,dietary energy supply; food availability; food insecurity; food security,food security,agricultural output; dietary energy supply; food availability; food production,,gender_poverty_inclusion; governance_institutions; smallholder_agriculture; value_chain_market_access,4,3,1,
Enabling trade across borders and food security in Africa,"Abstract Widespread food insecurity remains a daunting challenge in Africa, despite significant gains in global efforts to eliminate hunger over the last three decades. This paper examines the effects of easing trade across borders – through reductions in documents, time, and costs to export and import – on food security outcomes in Africa. To control for endogeneity, this paper employs the first-difference instrumental variable estimator based on panel data covering 45 African countries over the period 2006–2015. The results reveal that poor trade facilitation constitutes a significant driver of food insecurity in Africa. In particular, ineffective trade facilitation is associated with significant increments in the prevalence of undernourishment and depth of food deficit, as well as reductions in dietary energy supply adequacy and access to sanitation facilities. The results show that food availability and food access are significantly hampered by higher documentation requirements and lengthier export and import times. The results suggest that reductions in delays from documentary and border compliance promise to be the most effective trade facilitation reforms to enhance food security in Africa.",Isaac Bonuedi; Kofi Kamasa; Eric Evans Osei Opoku,Food Security,2020,10.1007/s12571-020-01095-y,https://openalex.org/W3049028798,OpenAlex,32,strict,dietary energy supply; food access; food availability; food insecurity; food security; hunger; undernourishment,food security,dietary energy supply; food availability,,empirical_methods,1,0,0,
Adoption and impacts of improved post-harvest technologies on food security and welfare of maize-farming households in Tanzania: a comparative assessment,"Abstract During the last decade, post-harvest losses (PHL) reduction has been topping the agenda of governments as a pathway for addressing food security, poverty, and nutrition challenges in Africa. Using survey data from 579 households, we investigated the factors that affect farmers’ decisions to adopt post-harvest technologies: mechanized shelling, drying tarpaulins, and airtight storage validated for reducing PHL in Tanzania’s maize-based systems, and the impacts on households’ food security and welfare. Mechanized shelling addressed a labor issue, while tarpaulins and airtight storage addressed product quality and quantity concerns. The results revealed large farm sizes and location in higher production potential zones (proxies for higher production scale) and neighbors' use of the technologies as universal drivers for adoption. Access to credit and off-farm income were unique determinants for airtight storage, while group membership increased the probability of adopting drying tarpaulin and airtight storage. The technologies have positive impacts on food security and welfare: drying tarpaulins and airtight storage significantly increased food availability (18–27%), food access (24–26%), and household incomes (112–155%), whereas mechanized shelling improved food and total expenditures by 49% and 68%, respectively. The share of total household expenditure on food decreased by 42%, 11%, and 51% among tarpaulin, mechanized shelling, and airtight storage adopter households, signaling significant improvements in food security and reductions in vulnerability. The results point to the need for policy support to enhance the adoption of these technologies, knowledge sharing among farmers, and financial resources access to support investments in the technologies.",Christopher Mutungi; Julius Manda; Shiferaw Feleke,Food Security,2023,10.1007/s12571-023-01365-5,https://openalex.org/W4376891337,OpenAlex,31,strict,food access; food availability; food security,food security,food availability; post-harvest losses,,empirical_methods; gender_poverty_inclusion; governance_institutions; post_harvest_loss; production_yield_cereals; smallholder_agriculture,6,3,2,
Socio-economic Drivers of Food Security among Rural Households in Nigeria: Evidence from Smallholder Maize Farmers,"Abstract Issues relating to food availability, accessibility/affordability, and food utilization remain paramount among different stakeholders such as policymakers and academics. Using data from 250 maize farming households in Nigeria, the study used Foster–Greer–Thorbecke and probit regression model to investigate the factors determining households food security. The food insecurity measure shows that 23.2% points of the households express the incidence of food insecurity while 5.5% points and 1.8% points were found to have depth and severity of food insecurity, respectively. After controlling for households’ socio-economic and demographic characteristics, the probit regression model suggested that, among others, value of output sold, education, credit access and participation in government safety nets program significantly influenced food security among the maize farmers in the study area. Based on our findings, effort should be intensified to enhance the productivity of land through improved production practices. There should be high-level awareness that will increase farmers’ participation in safety net programs. Thus, government at all levels (local, state, and federal) should have adequate budget allocation to this course in order to improve the livelihood outcomes of the farming households.",Adebayo Ogunniyi; Samuel Opeyemi Omotoso; Kabir Kayode Salman,Social Indicators Research,2021,10.1007/s11205-020-02590-7,https://openalex.org/W3122718595,OpenAlex,31,strict,food availability; food insecurity; food security,food security,food availability,,empirical_methods; financial_access; production_yield_cereals; smallholder_agriculture,4,2,1,
Impact of food losses and waste on food security,"In the world of rising population and concerns about inequality and growing food insecurity where about 870 million people still suffer from chronic undernourishment, food waste and loss (FLW) is one of the greatest challenges of our times. The Food and Agriculture Organization (FAO) estimates that about one-third of the edible food produced is lost or wasted each year, i.e. about 1.3 billion tons, with an economic cost estimated at about US$750 billion (excluding fish and Seafood). In addition, the environmental impact of FLW in terms of volume and cost is tremendous and represents a huge cost to the society, in terms of greenhouse gas emission, water footprint, wastage of agricultural land and biodiversity loss. FLW occur at all stages of the Food Supply Chain (FSC) starting with the initial level of agricultural production to the consumption by people. Some causes of FLW are structural and related to infrastructure, such as shortage of cold chains, processing facilities and efficient market infrastructure as well as shortcomings in the management and implementation of best practices at different stages of the FSC. Other causes are systematic and also related to policies and regulations that are mostly driven by improper functioning systems and non-supportive policies and regulations. The extent of the FLW is different for different commodities and also different between developing and developed countries. The FLW in developing countries mostly occur at the post-harvest level, while in developed countries, it’s mostly at the retail and consumer level, mainly related to consumer behavior. Among the major food commodities, cereals represent the largest share of FLW and comprise 53% of the total FLW. Meat represents only about 7%. However, when the impact on the environment and the economic cost are considered, reducing the meat loss and waste that has a large environmental impact, should receive as much attention as other major commodities despite its relatively small share of FLW. Approaches/solutions to reduce the global FLW through the FSC are discussed, both at the post-harvest, handling, storage and processing levels (close to the farm)and at the retail and consumption level (close to the fork). Many of these problems and solutions are similar to those faced by countries in the MENA region. The regional strategic framework that was developed by FAO in 2014 for the reduction of FLW in the MENA region to achieve the region’s goal for the reduction of FLW by 50% in 2024 is highlighted and discussed. Actions on moving forward and the need to establish/develop the necessary pre-requisites that can catalyze the successful implementation to reduce the FLW in the MENA member countries are recommended. © Springer International Publishing AG 2017.",Sawaya W.N.,"Water, Energy and Food Sustainability in the Middle East: The Sustainability Triangle",2017,10.1007/978-3-319-48920-9_16,,Scopus,30,strict,food insecurity; food security; food supply; undernourishment,food security,agricultural production; food losses; food supply; supply chain,food losses,post_harvest_loss; production_yield_cereals; value_chain_market_access,3,2,3,
Beyond food aid_ leveraging Somalia’s rich land and heritage to build a resilient food system,"Somalia’s recurring hunger crises are often viewed as emergencies that can be addressed by emergency food aid. In reality, chronic food insecurity now stems from structural fault lines—poverty, conflict, displacement, climate volatility, weak land tenure, under-resourced ministries, and fractured markets—that short-term food aid cannot repair. Today, 4.3 million Somalis face acute food insecurity, and more than 700,000 children are acutely malnourished, even though the country boasts a 3333-km coastline, fertile river valleys and a rich tradition of pastoralism and farming. Cycles of drought have decimated herds, forced pastoralists into urban slums, and eroded coping mechanisms, while conflict blocks access to productive land and drives up dependence on imports for over 80% of staple foods. Climate change is tightening this vise through erratic rains, scorching heat, and flash floods. To achieve sustainable food security, Somalia must shift from emergency relief to long-term investments in resilient and inclusive food systems. That means channelling at least five percent of public expenditure into irrigation, water harvesting, and extension services; securing land rights to spur on-farm investment; scaling early-warning and climate-smart technologies; and rebuilding rural infrastructure, cold chains, and digital marketplaces so smallholders can reach consumers. Nutrition gains hinge on diversifying production of fruits, vegetables, legumes, and animal proteins, linked to community health and education programs. A national Food Systems Coordination Council should align humanitarian and development actors with regional frameworks, while public–private partnerships unlock finance for Somali agribusiness innovations. Ending hunger is not only a humanitarian obligation; it is a prerequisite for stability, growth, and social justice. With political will, integrated governance, and sustained investment, Somalia can move beyond food aid, harness its land and heritage, and lay the foundation for a resilient, self-reliant future. © The Author(s) 2026.",Hussein S.A.; Osman M.M.; Abdulle Y.S.; Hussein A.A.; Ali A.N.; Abdullahi Y.B.; Ahmed N.I.; Ibrahim A.M.,Tropical Medicine and Health,2026,10.1186/s41182-026-00926-6,,Scopus,28,strict,food insecurity; food security; hunger,,food system,food system,climate_environment; gender_poverty_inclusion; governance_institutions; production_yield_cereals; smallholder_agriculture,5,3,1,
Impacts of COVID-19 on Trade and Economic Aspects of Food Security: Evidence from 45 Developing Countries,"The stability of food supply chains is crucial to the food security of people around the world. Since the beginning of 2020, this stability has been undergoing one of the most vigorous pressure tests ever due to the COVID-19 outbreak. From a mere health issue, the pandemic has turned into an economic threat to food security globally in the forms of lockdowns, economic decline, food trade restrictions, and rising food inflation. It is safe to assume that the novel health crisis has badly struck the least developed and developing economies, where people are particularly vulnerable to hunger and malnutrition. However, due to the recency of the COVID-19 problem, the impacts of macroeconomic fluctuations on food insecurity have remained scantily explored. In this study, the authors attempted to bridge this gap by revealing interactions between the food security status of people and the dynamics of COVID-19 cases, food trade, food inflation, and currency volatilities. The study was performed in the cases of 45 developing economies distributed to three groups by the level of income. The consecutive application of the autoregressive distributed lag method, Yamamoto's causality test, and variance decomposition analysis allowed the authors to find the food insecurity effects of COVID-19 to be more perceptible in upper-middle-income economies than in the least developed countries. In the latter, food security risks attributed to the emergence of the health crisis were mainly related to economic access to adequate food supply (food inflation), whereas in higher-income developing economies, availability-sided food security risks (food trade restrictions and currency depreciation) were more prevalent. The approach presented in this paper contributes to the establishment of a methodology framework that may equip decision-makers with up-to-date estimations of health crisis effects on economic parameters of food availability and access to staples in food-insecure communities.",Vasilii Erokhin; Gao Tianming,International Journal of Environmental Research and Public Health,2020,10.3390/ijerph17165775,https://openalex.org/W3048185517,OpenAlex,28,strict,food availability; food insecurity; food security; food supply; hunger; malnutrition,food security,food availability; food supply,,,0,0,0,
Genetically Modified Crops and Food Security,"The role of genetically modified (GM) crops for food security is the subject of public controversy. GM crops could contribute to food production increases and higher food availability. There may also be impacts on food quality and nutrient composition. Finally, growing GM crops may influence farmers' income and thus their economic access to food. Smallholder farmers make up a large proportion of the undernourished people worldwide. Our study focuses on this latter aspect and provides the first ex post analysis of food security impacts of GM crops at the micro level. We use comprehensive panel data collected over several years from farm households in India, where insect-resistant GM cotton has been widely adopted. Controlling for other factors, the adoption of GM cotton has significantly improved calorie consumption and dietary quality, resulting from increased family incomes. This technology has reduced food insecurity by 15-20% among cotton-producing households. GM crops alone will not solve the hunger problem, but they can be an important component in a broader food security strategy.",Matin Qaim; Shahzad Kouser,PLoS ONE,2013,10.1371/journal.pone.0064879,https://openalex.org/W2156375892,OpenAlex,28,strict,food availability; food insecurity; food security; hunger; undernourished,food security,food availability; food production,,empirical_methods; smallholder_agriculture,2,1,0,
New evidence in the relationship between trade openness and food security in Sub-Saharan Africa,"Abstract Background Since 2015, food insecurity has been a more serious threat than the previous years with a record high observed from the year 2020 onwards, especially in developing countries. This record could be due to response measures, notably the closure of borders due to the COVID-19 pandemic. This implies that trade openness have played an important role in achieving food security in the world. However, the debate on the effect of trade openness on food security remains no consensus in the economic literature. It is in this context that this paper aims to re-examine the effect of trade openness on food security in sub-Saharan African countries. Methods Panel data covering 37 Sub-Saharan African countries over the period from 2004 to 2018 were mobilized. We use a dynamic empirical model based on the system Generalized Method of Moment (GMM) to control the unobserved heterogeneity and potential endogeneity of the explanatory variables. As food security is a multidimensional concept, we used four indicators (“average dietary energy supply adequacy”, “average protein supply”, “per capita food supply variability”, and “share of dietary energy supply”) to capture food security. To improve the robustness of the empirical effect of openness on food security, we also used globalization as an alternative factor to trade openness. Results The empirical results show that trade openness significantly improves food security in 37 Sub-Saharan African countries. However, in the presence of political instability, a deterioration of the food security situation is observed. The results reveal also that the quality of institutions, economic growth, remittances, human capital, and the importance of the agricultural sector are also factors favouring the level of food security in sub-Saharan Africa countries. Conclusion Any policy aimed at trade openness must consider the quality of institutions to achieve the expected results.",Kodjo Théodore Gnedeka; Kwami Ossadzifo Wonyra,Agriculture & Food Security,2023,10.1186/s40066-023-00439-z,https://openalex.org/W4387703860,OpenAlex,27,strict,dietary energy supply; food insecurity; food security; food supply,food security,dietary energy supply; food supply,,empirical_methods; governance_institutions,2,1,0,
